date,sales
2014/04/20,8961217
2014/04/21,6723580
2014/04/22,6742403
2014/04/23,7131015
2014/04/24,7077589
2014/04/25,7949788
2014/04/26,8118084
2014/04/27,7926387
2014/04/28,8266085
2014/04/29,6924996
2014/04/30,6206128
2014/05/01,7923074
2014/05/02,8705882
2014/05/03,7942344
2014/05/04,8139344
2014/05/05,7895614
2014/05/06,7100009
2014/05/07,7477075
2014/05/08,7108510
2014/05/09,8214228
2014/05/10,8971029
2014/05/11,8989791
2014/05/12,6927157
2014/05/13,6354026
2014/05/14,6687505
2014/05/15,6811750
2014/05/16,8217171
2014/05/17,8317126
2014/05/18,8126307
2014/05/19,7133882
2014/05/20,7012196
2014/05/21,5887404
2014/05/22,6365245
2014/05/23,8554385
2014/05/24,8707134
2014/05/25,8049059
2014/05/26,6881010
2014/05/27,6727334
2014/05/28,6957394
2014/05/29,6383388
2014/05/30,8088583
2014/05/31,7710706
2014/06/01,8209749
2014/06/02,7300642
2014/06/03,7209703
2014/06/04,7623064
2014/06/05,5882577
2014/06/06,5853941
2014/06/07,8001020
2014/06/08,8472058
2014/06/09,7256731
2014/06/10,7397914
2014/06/11,6309061
2014/06/12,6985447
2014/06/13,8773455
2014/06/14,10018413
2014/06/15,9161637
2014/06/16,7405365
2014/06/17,7035645
2014/06/18,7166721
2014/06/19,6807862
2014/06/20,7548244
2014/06/21,9129515
2014/06/22,8257788
2014/06/23,7835778
2014/06/24,6000848
2014/06/25,7701452
2014/06/26,7716838
2014/06/27,8912967
2014/06/28,8579772
2014/06/29,8997882
2014/06/30,7947625
2014/07/01,7222661
2014/07/02,7421205
2014/07/03,7175406
2014/07/04,7403263
2014/07/05,8158976
2014/07/06,8602838
2014/07/07,6785215
2014/07/08,8190261
2014/07/09,6990054
2014/07/10,7262541
2014/07/11,7201086
2014/07/12,9678930
2014/07/13,8636659
2014/07/14,7136073
2014/07/15,7080066
2014/07/16,6612925
2014/07/17,6846800
2014/07/18,7336331
2014/07/19,7813689
2014/07/20,7003854
2014/07/21,7566651
2014/07/22,6973800
2014/07/23,6729277
2014/07/24,6080455
2014/07/25,8093374
2014/07/26,8506388
2014/07/27,7590049
2014/07/28,7770031
2014/07/29,8173141
2014/07/30,6960206
2014/07/31,6373707
2014/08/01,7439615
2014/08/02,7933944
2014/08/03,7651566
2014/08/04,6767327
2014/08/05,6239641
2014/08/06,6864321
2014/08/07,6774522
2014/08/08,8512137
2014/08/09,8118635
2014/08/10,5145157
2014/08/11,7902588
2014/08/12,7071979
2014/08/13,7566607
2014/08/14,6829364
2014/08/15,8375993
2014/08/16,7739439
2014/08/17,7588516
2014/08/18,7136751
2014/08/19,6814135
2014/08/20,6945936
2014/08/21,6520337
2014/08/22,8253629
2014/08/23,8760536
2014/08/24,7781626
2014/08/25,7278078
2014/08/26,6595172
2014/08/27,6388133
2014/08/28,5986068
2014/08/29,7663993
2014/08/30,8259548
2014/08/31,7569649
2014/09/01,5729949
2014/09/02,7491131
2014/09/03,7395311
2014/09/04,7408588
2014/09/05,7725524
2014/09/06,8179585
2014/09/07,8122287
2014/09/08,7156911
2014/09/09,7207405
2014/09/10,6662449
2014/09/11,6638995
2014/09/12,9107151
2014/09/13,9535187
2014/09/14,8932739
2014/09/15,8079854
2014/09/16,7408664
2014/09/17,7484091
2014/09/18,6771930
2014/09/19,7913635
2014/09/20,8863071
2014/09/21,8264903
2014/09/22,7787516
2014/09/23,7775715
2014/09/24,7086432
2014/09/25,6124077
2014/09/26,9042831
2014/09/27,8270506
2014/09/28,8390225
2014/09/29,7685058
2014/09/30,7173492
2014/10/01,6951760
2014/10/02,7537075
2014/10/03,8063106
2014/10/04,10604497
2014/10/05,5514374
2014/10/06,5916254
2014/10/07,7878007
2014/10/08,7367463
2014/10/09,7168786
2014/10/10,8786549
2014/10/11,9621585
2014/10/12,9450136
2014/10/13,5496423
2014/10/14,6340483
2014/10/15,6815733
2014/10/16,7785250
2014/10/17,10452514
2014/10/18,11468861
2014/10/19,10412799
2014/10/20,7320603
2014/10/21,6956601
2014/10/22,5638499
2014/10/23,7151287
2014/10/24,8678834
2014/10/25,8956323
2014/10/26,8660142
2014/10/27,7551254
2014/10/28,7353942
2014/10/29,7585843
2014/10/30,7212692
2014/10/31,8953218
2014/11/01,7563991
2014/11/02,9159053
2014/11/03,8559286
2014/11/04,7514684
2014/11/05,7110092
2014/11/06,6431340
2014/11/07,8349699
2014/11/08,8638056
2014/11/09,7452152
2014/11/10,7322116
2014/11/11,6845396
2014/11/12,7324037
2014/11/13,7147032
2014/11/14,8191065
2014/11/15,8487522
2014/11/16,8536375
2014/11/17,7259945
2014/11/18,7177769
2014/11/19,7632133
2014/11/20,7325971
2014/11/21,9343255
2014/11/22,9709028
2014/11/23,8932567
2014/11/24,8249167
2014/11/25,6363813
2014/11/26,6522577
2014/11/27,8160875
2014/11/28,8680502
2014/11/29,8623391
2014/11/30,9120383
2014/12/01,6723019
2014/12/02,7773265
2014/12/03,7891721
2014/12/04,6511752
2014/12/05,8896319
2014/12/06,9351780
2014/12/07,11058614
2014/12/08,7929002
2014/12/09,7790152
2014/12/10,8030761
2014/12/11,6991689
2014/12/12,9475666
2014/12/13,9494084
2014/12/14,9171016
2014/12/15,8860988
2014/12/16,6717564
2014/12/17,8546040
2014/12/18,8770954
2014/12/19,10360032
2014/12/20,9534301
2014/12/21,11189509
2014/12/22,11218108
2014/12/23,13502588
2014/12/24,14831038
2014/12/25,10968006
2014/12/26,12061253
2014/12/27,14147306
2014/12/28,17459232
2014/12/29,17542652
2014/12/30,28193079
2014/12/31,24954742
2015/01/01,7665133
2015/01/02,8353722
2015/01/03,6916645
2015/01/04,6945645
2015/01/05,7308914
2015/01/06,6095956
2015/01/07,7169516
2015/01/08,7032856
2015/01/09,7994542
2015/01/10,8734850
2015/01/11,7826743
2015/01/12,7470602
2015/01/13,7081061
2015/01/14,7181731
2015/01/15,4826146
2015/01/16,8366792
2015/01/17,8623714
2015/01/18,8559779
2015/01/19,7435006
2015/01/20,7059134
2015/01/21,6132411
2015/01/22,5828493
2015/01/23,8729278
2015/01/24,8953200
2015/01/25,9263216
2015/01/26,7864772
2015/01/27,6725181
2015/01/28,7226483
2015/01/29,8406977
2015/01/30,4959066
2015/01/31,9675351
2015/02/01,8978110
2015/02/02,8159616
2015/02/03,10111439
2015/02/04,8951901
2015/02/05,5103971
2015/02/06,8917428
2015/02/07,9143288
2015/02/08,7562168
2015/02/09,8173668
2015/02/10,8300185
2015/02/11,8720424
